AckleyMountain Leaderboard
--------------------------------------
N°         TEAM        HIKER     MINS
--------------------------------------
1. Gabo_Tor20 B001001 395
2. Gabo_Tor17 B001000 396
3. Dormis Tomi 638
4. Dormis Juanchi 893
5. Gabo_Tor¨ B001010 1055
6. Dormis Andy 1133
7. Dormis Ivo 1184
8. LINAR0 Agus1 1187
9. Gabo_Tor§ B000001 2442
10. Gabo_Tor¦ B001010 3189
11. Gabo_Torª B000001 3207
