EasomMountain Leaderboard
--------------------------------------
N°         TEAM        HIKER     MINS
--------------------------------------
1. T1 E3 338
2. Gabo_Tor¨ B001100 355
3. T1 E1 359
4. T1 E1 491
5. T1 E3 502
6. T1 E4 517
7. T1 E2 572
8. T1 E2 674
9. T1 E4 688
10. Gabo_Tor0 local_max4 1884
11. Gabo_Tor© B001101 2979
12. Gabo_Tor© B000110 3905
